Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,8448.59,101383.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,370,4440.00,USD,"Hosted Zones (2), Additional Records in Hosted Zones (), Number of Elastic Network Interfaces (4), Number of domains stored ()"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,2149.2,25790.40,USD,"Data transfer out to internet (20 TB per month), Data transfer out to origin (20 TB per month), Number of requests (HTTPS) (50000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,23.55,282.60,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,S3 Management and Analytics,0,20,240.00,USD,S3 Storage Lens Objects (100 million per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,92.16,1105.92,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month)"
My Estimate,US East (N. Virginia),,Amazon API Gateway,0,1694.8,20337.60,USD,"HTTP API requests units (millions), Average size of each request (500 KB), REST API request units (millions), Cache memory size (GB) (118), WebSocket message units (exact number), Average message size (32 KB), Requests (10 per month), Requests (10 per month), Messages (100 per second)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,251.12,3013.44,USD,"Tenancy (Shared Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 4), Enable monitoring (disabled), Advance EC2 instance (m5a.large), Pricing strategy (), Snapshot Frequency (No snapshot storage)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,1554.36,18652.32,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (1 TB), Nodes (2), Instance Type (db.m5.xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,921.6,11059.20,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (10 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (921.6)"
My Estimate,US East (N. Virginia),,VPN Connection,0,384.5,4614.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (1)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,987.3,11847.60,USD,Number of NAT Gateways (2)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
